target_id,jurisdiction_name,state,target_type,expected_archetype,expected_classification,row_role,target_key,source_identity,selection_reason,run_start,run_started_at,run_stop,run_stopped_at,runtime_min,review_start,review_started_at,review_stop,review_stopped_at,human_min,match_status,generation_status,exception_class,parity_ok,outcome,next_action,canonical_jurisdiction_id,exception_workspace_url,portfolio_sync_ok,checksum_run_1,checksum_run_2,checksum_parity_ok,timer_integrity_ok
MB100-011,San Antonio,TX,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:tx/place:san_antonio,place-4865000,"One governing place spanning Bexar, Comal, and Medina counties",TRUE,2026-08-06 08:02:02,TRUE,2026-08-06 08:02:02,0.0,TRUE,2026-08-06 08:02:02,TRUE,2026-08-06 08:02:05,0.1,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-012 Charlotte under the frozen Measured Batch 100 protocol.,jur-us-tx-san-antonio,,TRUE,4ce37285eaaa762f135e061b7c219038f3f391a65b390a10aabfe42593628d9a,4ce37285eaaa762f135e061b7c219038f3f391a65b390a10aabfe42593628d9a,TRUE,TRUE
MB100-012,Charlotte,NC,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:nc/place:charlotte,place-3712000,Southeastern municipality with exact state/name disambiguation,TRUE,2026-08-06 08:02:05,TRUE,2026-08-06 08:02:05,0.0,TRUE,2026-08-06 08:02:05,TRUE,2026-08-06 08:02:09,0.1,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-013 Columbus under the frozen Measured Batch 100 protocol.,jur-us-nc-charlotte,,TRUE,e24c5130328ddcea6be7bcb31a8a69eb12740babb8d28a16d0e62ec046d886d7,e24c5130328ddcea6be7bcb31a8a69eb12740babb8d28a16d0e62ec046d886d7,TRUE,TRUE
MB100-013,Columbus,OH,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:oh/place:columbus,place-3918000,Three-county place and same-name cross-state collision,TRUE,2026-08-06 08:08:51,TRUE,2026-08-06 08:09:57,1.1,TRUE,2026-08-06 08:10:42,TRUE,2026-08-06 08:11:04,0.4,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-014 Detroit under the frozen Measured Batch 100 protocol.,jur-us-oh-columbus,,TRUE,248560b92974b0a5e99b29845d7d94e6afe6ec0bd70301934c572d345fb28c46,248560b92974b0a5e99b29845d7d94e6afe6ec0bd70301934c572d345fb28c46,TRUE,TRUE
MB100-014,Detroit,MI,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:mi/place:detroit,place-2622000,Large Michigan city and city-label normalization,TRUE,2026-08-06 08:25:29,TRUE,2026-08-06 08:26:50,1.4,TRUE,2026-08-06 08:27:28,TRUE,2026-08-06 08:27:49,0.3,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-015 Milwaukee under the frozen Measured Batch 100 protocol.,jur-us-mi-detroit,,TRUE,f2880246b61f4c4438e143faef0bfa6cac2593b498e7b1b135b046129cb46a6c,f2880246b61f4c4438e143faef0bfa6cac2593b498e7b1b135b046129cb46a6c,TRUE,TRUE
MB100-015,Milwaukee,WI,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:wi/place:milwaukee,place-5553000,Three-county place and ward-rich city,TRUE,2026-08-06 08:35:18,TRUE,2026-08-06 08:36:27,1.1,TRUE,2026-08-06 08:37:05,TRUE,2026-08-06 08:37:26,0.3,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-016 Omaha under the frozen Measured Batch 100 protocol.,jur-us-wi-milwaukee,,TRUE,82571f2578791e22474ce429eb905e0f04376d67aa57d7d2a2ddd45dbe9916a9,82571f2578791e22474ce429eb905e0f04376d67aa57d7d2a2ddd45dbe9916a9,TRUE,TRUE
MB100-016,Omaha,NE,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:ne/place:omaha,place-3137000,New Plains state and exact municipal identity,TRUE,2026-08-06 20:10:22,TRUE,2026-08-06 20:11:22,1.0,TRUE,2026-08-06 20:12:05,TRUE,2026-08-06 20:12:24,0.3,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-017 Wichita under the frozen Measured Batch 100 protocol.,jur-us-ne-omaha,,TRUE,92a2f7b70ad5d3f6fc00df6addd1ef9b9ddf75cdd5cc0ac96f645d7b17280aac,92a2f7b70ad5d3f6fc00df6addd1ef9b9ddf75cdd5cc0ac96f645d7b17280aac,TRUE,TRUE
MB100-017,Wichita,KS,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:ks/place:wichita,place-2079000,Place/cousub duplicate geography; governing place must win,TRUE,2026-08-06 20:20:08,TRUE,2026-08-06 20:21:19,1.2,TRUE,2026-08-06 20:21:52,TRUE,2026-08-06 20:22:12,0.3,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-018 Memphis under the frozen Measured Batch 100 protocol.,jur-us-ks-wichita,,TRUE,77e860dce0ed1ebe4b83e589e4b443090121ac0e560cee2364164bf25a40b1f5,77e860dce0ed1ebe4b83e589e4b443090121ac0e560cee2364164bf25a40b1f5,TRUE,TRUE
MB100-018,Memphis,TN,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:tn/place:memphis,place-4748000,Same-name cross-state collision,TRUE,2026-08-06 20:31:01,TRUE,2026-08-06 20:32:24,1.4,TRUE,2026-08-06 20:32:44,TRUE,2026-08-06 20:33:05,0.4,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-019 Raleigh under the frozen Measured Batch 100 protocol.,jur-us-tn-memphis,,TRUE,05936a7bf9d5edef703cfde73854874beb12dc898dd197504428874caa65e874,05936a7bf9d5edef703cfde73854874beb12dc898dd197504428874caa65e874,TRUE,TRUE
MB100-019,Raleigh,NC,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:nc/place:raleigh,place-3755000,One governing place spanning Durham and Wake counties,TRUE,2026-08-06 20:59:30,TRUE,2026-08-06 21:00:45,1.2,TRUE,2026-08-06 21:02:03,TRUE,2026-08-06 21:02:46,0.7,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-020 Atlanta under the frozen Measured Batch 100 protocol.,jur-us-nc-raleigh,,TRUE,31860b618da2f9b27ee0b01aeeae03f162b54c06b1e4bdaf57af8f2cec1b589c,31860b618da2f9b27ee0b01aeeae03f162b54c06b1e4bdaf57af8f2cec1b589c,TRUE,TRUE
MB100-020,Atlanta,GA,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:ga/place:atlanta,place-1304000,One governing place spanning DeKalb and Fulton counties,TRUE,2026-08-06 21:15:26,TRUE,2026-08-06 21:16:24,1.0,TRUE,2026-08-06 21:16:53,TRUE,2026-08-06 21:17:08,0.3,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-021 Salt Lake City under the frozen Measured Batch 100 protocol.,jur-us-ga-atlanta,,TRUE,0c565c329a4f2a1fe4da8f5ef73d1549bbd130599685e93eaab6fe36db4f80c9,0c565c329a4f2a1fe4da8f5ef73d1549bbd130599685e93eaab6fe36db4f80c9,TRUE,TRUE
MB100-021,Salt Lake City,UT,place,AR-001,government,MEASURED — KNOWN,ocd-division/country:us/state:ut/place:salt_lake_city,place-4967000,Official name includes City suffix,TRUE,2026-08-06 21:23:02,TRUE,2026-08-06 21:23:58,0.9,TRUE,2026-08-06 21:26:55,TRUE,2026-08-06 21:27:09,0.2,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-022 King County under the frozen Measured Batch 100 protocol.,jur-us-ut-salt-lake-city,,TRUE,64a7d457e250084878d4c3ac290d1098e315594de8c2ea499ceaff3a9ca0e6fa,64a7d457e250084878d4c3ac290d1098e315594de8c2ea499ceaff3a9ca0e6fa,TRUE,TRUE
MB100-022,King County,WA,county,AR-002,government,MEASURED — KNOWN,ocd-division/country:us/state:wa/county:king,county-53033,Large county in the fixture state,TRUE,2026-08-06 21:36:32,TRUE,2026-08-06 21:37:39,1.1,TRUE,2026-08-06 21:38:16,TRUE,2026-08-06 21:38:29,0.2,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-023 Cuyahoga County under the frozen Measured Batch 100 protocol.,jur-us-wa-king-county,,TRUE,81b11e66370129d37b35ae7d3162156a892243c95714bafd0ceb2f5e79bbfbe8,81b11e66370129d37b35ae7d3162156a892243c95714bafd0ceb2f5e79bbfbe8,TRUE,TRUE
MB100-023,Cuyahoga County,OH,county,AR-002,government,MEASURED — KNOWN,ocd-division/country:us/state:oh/county:cuyahoga,county-39035,Charter-county variation,TRUE,2026-08-06 22:04:32,TRUE,2026-08-06 22:05:45,1.2,TRUE,2026-08-06 22:05:52,TRUE,2026-08-06 22:06:36,0.7,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-024 Miami-Dade County under the frozen Measured Batch 100 protocol.,jur-us-oh-cuyahoga-county,,TRUE,f659a07a3844813997ca652d8a6396d555cb05ba036a239f15ca6e11f4c91de1,f659a07a3844813997ca652d8a6396d555cb05ba036a239f15ca6e11f4c91de1,TRUE,TRUE
MB100-024,Miami-Dade County,FL,county,AR-002,government,MEASURED — KNOWN,ocd-division/country:us/state:fl/county:miami-dade,county-12086,Hyphenated canonical county identity,TRUE,2026-08-07 08:17:05,TRUE,2026-08-07 08:18:37,1.5,TRUE,2026-08-07 08:19:51,TRUE,2026-08-07 08:20:06,0.2,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-025 Allegheny County under the frozen Measured Batch 100 protocol.,jur-us-fl-miami-dade-county,,TRUE,07bb6edec0e64f7dd953a54618a9934409b55165fa96d035c29df12cb40db38e,07bb6edec0e64f7dd953a54618a9934409b55165fa96d035c29df12cb40db38e,TRUE,TRUE
MB100-025,Allegheny County,PA,county,AR-002,government,MEASURED — KNOWN,ocd-division/country:us/state:pa/county:allegheny,county-42003,County executive/council variation,TRUE,2026-08-07 08:43:24,TRUE,2026-08-07 08:47:26,4.0,TRUE,2026-08-07 08:48:38,TRUE,2026-08-07 08:48:55,0.3,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-026 Cook County under the frozen Measured Batch 100 protocol.,jur-us-pa-allegheny-county,,TRUE,f86cdcfa9da1c4db998957aa7fe830eaddf3ea4b0f44ceba1ad7869938ec07a5,f86cdcfa9da1c4db998957aa7fe830eaddf3ea4b0f44ceba1ad7869938ec07a5,TRUE,TRUE
MB100-026,Cook County,IL,county,AR-002,government,MEASURED — KNOWN,ocd-division/country:us/state:il/county:cook,county-17031,Large Midwestern county and deep nested geography,TRUE,2026-08-07 09:04:37,TRUE,2026-08-07 09:05:40,1.1,TRUE,2026-08-07 09:06:35,TRUE,2026-08-07 09:06:50,0.3,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-027 Dallas County under the frozen Measured Batch 100 protocol.,jur-us-il-cook-county,,TRUE,f86264e29b2a99bb5fef8e944348a23cbc5ced49f0c18f3be23896fdc311371e,f86264e29b2a99bb5fef8e944348a23cbc5ced49f0c18f3be23896fdc311371e,TRUE,TRUE
MB100-027,Dallas County,TX,county,AR-002,government,MEASURED — KNOWN,ocd-division/country:us/state:tx/county:dallas,county-48113,Same-name cross-state county collision,TRUE,2026-08-07 14:14:10,TRUE,2026-08-07 14:15:06,0.9,TRUE,2026-08-07 14:15:20,TRUE,2026-08-07 14:16:04,0.7,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-028 Fulton County under the frozen Measured Batch 100 protocol.,jur-us-tx-dallas-county,,TRUE,91cf5ce19072e4f8f9d0f5bd6fd3b3f11066af24f49f5c54eddfb88bf858dc1b,91cf5ce19072e4f8f9d0f5bd6fd3b3f11066af24f49f5c54eddfb88bf858dc1b,TRUE,TRUE
MB100-028,Fulton County,GA,county,AR-002,government,MEASURED — KNOWN,ocd-division/country:us/state:ga/county:fulton,county-13121,Same-name cross-state county collision,TRUE,2026-08-07 14:26:09,TRUE,2026-08-07 14:27:14,1.1,TRUE,2026-08-07 14:27:20,TRUE,2026-08-07 14:28:23,1.0,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-029 Hennepin County under the frozen Measured Batch 100 protocol.,jur-us-ga-fulton-county,,TRUE,1913745b82ab24fe670029887943b85115693337b2c14d2d85a284d3345b1b03,1913745b82ab24fe670029887943b85115693337b2c14d2d85a284d3345b1b03,TRUE,TRUE
MB100-029,Hennepin County,MN,county,AR-002,government,MEASURED — KNOWN,ocd-division/country:us/state:mn/county:hennepin,county-27053,Large county linked to a prior municipal proof,TRUE,2026-08-07 14:46:22,TRUE,2026-08-07 14:47:25,1.1,TRUE,2026-08-07 14:48:16,TRUE,2026-08-07 14:48:34,0.3,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-030 Denver Public Schools under the frozen Measured Batch 100 protocol.,jur-us-mn-hennepin-county,,TRUE,0fefd8f4c65838a38e6da6b95621159810c5017d7fcd86b3d4d6a36f24198fcb,0fefd8f4c65838a38e6da6b95621159810c5017d7fcd86b3d4d6a36f24198fcb,TRUE,TRUE
MB100-030,Denver Public Schools,CO,school district,AR-003,school_system,MEASURED — KNOWN,ocd-division/country:us/state:co/county:denver/school_district:denver_1,GEOID 0800245 / state ID 16010,Exact master name Denver 1 and human-facing naming variant,TRUE,2026-08-07 15:58:44,TRUE,2026-08-07 15:59:36,0.9,TRUE,2026-08-07 15:59:40,TRUE,2026-08-07 16:00:27,0.8,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-031 Seattle Public Schools under the frozen Measured Batch 100 protocol.,jur-us-co-denver-public-schools,,TRUE,64ecaffa70ed98a009ddd8c3c95d6223784892ca32df3b8f490464d4e5c2232e,64ecaffa70ed98a009ddd8c3c95d6223784892ca32df3b8f490464d4e5c2232e,TRUE,TRUE
MB100-031,Seattle Public Schools,WA,school district,AR-003,school_system,MEASURED — KNOWN,ocd-division/country:us/state:wa/county:king/school_district:seattle_public_schools,GEOID 5307710 / state ID 17001,School system in the municipal fixture state,TRUE,2026-08-07 16:10:12,TRUE,2026-08-07 16:11:59,1.8,TRUE,2026-08-07 16:12:08,TRUE,2026-08-07 16:13:13,1.1,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-032 Clark County School District under the frozen Measured Batch 100 protocol.,jur-us-wa-seattle-public-schools,,TRUE,8c22ec512af7f0d3521a5b84f84e2e1d25169c4ab604fde1c602dd21e396740f,8c22ec512af7f0d3521a5b84f84e2e1d25169c4ab604fde1c602dd21e396740f,TRUE,TRUE
MB100-032,Clark County School District,NV,school district,AR-003,school_system,MEASURED — KNOWN,ocd-division/country:us/state:nv/county:clark/school_district:clark_county_school_district,GEOID 3200060 / state ID 02,Large unified district and leading-zero state ID,TRUE,2026-08-07 16:31:08,TRUE,2026-08-07 16:32:15,1.1,TRUE,2026-08-07 16:32:20,TRUE,2026-08-07 16:33:21,1.0,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-033 Albuquerque Public Schools under the frozen Measured Batch 100 protocol.,jur-us-nv-clark-county-school-district,,TRUE,76a23cfa4a194fc8b6ca64024c187d72bf9e2aa6cb3d22e776ea96010d775aef,76a23cfa4a194fc8b6ca64024c187d72bf9e2aa6cb3d22e776ea96010d775aef,TRUE,TRUE
MB100-033,Albuquerque Public Schools,NM,school district,AR-003,school_system,MEASURED — KNOWN,ocd-division/country:us/state:nm/county:bernalillo/school_district:albuquerque_public_schools,GEOID 3500060 / state ID 001,Leading-zero state ID and city/district pairing,TRUE,2026-08-07 17:16:07,TRUE,2026-08-07 17:17:13,1.1,TRUE,2026-08-07 17:18:29,TRUE,2026-08-07 17:18:48,0.3,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-034 Boston Public Schools under the frozen Measured Batch 100 protocol.,jur-us-nm-albuquerque-public-schools,,TRUE,e4824b4747b271bda0205e55b6a8c58f04623e355d830330679f7516221cdef7,e4824b4747b271bda0205e55b6a8c58f04623e355d830330679f7516221cdef7,TRUE,TRUE
MB100-034,Boston Public Schools,MA,school district,AR-003,school_system,MEASURED — KNOWN,ocd-division/country:us/state:ma/county:suffolk/school_district:boston,GEOID 2502790 / state ID 0035,Short exact master label and leading-zero state ID,TRUE,2026-08-07 17:36:20,TRUE,2026-08-07 17:37:29,1.1,TRUE,2026-08-07 17:37:33,TRUE,2026-08-07 17:38:15,0.7,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-035 Atlanta Public Schools under the frozen Measured Batch 100 protocol.,jur-us-ma-boston-public-schools,,TRUE,fb8090b6f11188bc1a3048b8f638ea771bd447d80b3a36e429311ddbdcaaff70,fb8090b6f11188bc1a3048b8f638ea771bd447d80b3a36e429311ddbdcaaff70,TRUE,TRUE
MB100-035,Atlanta Public Schools,GA,school district,AR-003,school_system,MEASURED — KNOWN,ocd-division/country:us/state:ga/county:fulton/school_district:atlanta_public_schools,GEOID 1300120 / state ID 761,District inside a two-county municipal context,TRUE,2026-08-07 18:05:46,TRUE,2026-08-07 18:06:52,1.1,TRUE,2026-08-07 18:07:34,TRUE,2026-08-07 18:07:59,0.4,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-036 Houston Independent School District under the frozen Measured Batch 100 protocol.,jur-us-ga-atlanta-public-schools,,TRUE,a153c1bd624a674f111a462d44951193a372e87b12951fae148d81cd575c8532,a153c1bd624a674f111a462d44951193a372e87b12951fae148d81cd575c8532,TRUE,TRUE
MB100-036,Houston Independent School District,TX,school district,AR-003,school_system,MEASURED — KNOWN,ocd-division/country:us/state:tx/county:harris/school_district:houston_isd,GEOID 4823640 / state ID 101912,Large independent school district and ISD abbreviation,TRUE,2026-08-07 18:23:32,TRUE,2026-08-07 18:24:36,1.1,TRUE,2026-08-07 18:25:36,TRUE,2026-08-07 18:26:02,0.4,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-037 Philadelphia City School District under the frozen Measured Batch 100 protocol.,jur-us-tx-houston-independent-school-district,,TRUE,4db91026c8b4db5cdbd6526116835d2aab1fb4aff61efd95c44fd10a68202185,4db91026c8b4db5cdbd6526116835d2aab1fb4aff61efd95c44fd10a68202185,TRUE,TRUE
MB100-037,Philadelphia City School District,PA,school district,AR-003,school_system,MEASURED — KNOWN,ocd-division/country:us/state:pa/county:philadelphia/school_district:philadelphia_city_sd,GEOID 4218990 / state ID 126515001,City school-district abbreviation and county-equivalent ancestor,TRUE,2026-08-07 19:38:51,TRUE,2026-08-07 19:40:10,1.3,TRUE,2026-08-07 19:41:30,TRUE,2026-08-07 19:42:15,0.8,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-038 Bay Area Rapid Transit District under the frozen Measured Batch 100 protocol.,jur-us-pa-philadelphia-city-school-district,,TRUE,c5716f1e66614d09da90ba793acbfbcd934e3721a872e6ea8a2d8d3f464cce53,c5716f1e66614d09da90ba793acbfbcd934e3721a872e6ea8a2d8d3f464cce53,TRUE,TRUE
MB100-038,Bay Area Rapid Transit District,CA,transit authority,AR-004,transit_authority,MEASURED — KNOWN,lookup:Bay Area Rapid Transit District,PID6 100767 / GIDID 05400190500000,Validated Census-backed override; second timed transit pathway,TRUE,2026-08-07 20:01:11,TRUE,2026-08-07 20:02:10,1.0,TRUE,2026-08-07 20:03:42,TRUE,2026-08-07 20:03:58,0.3,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-039 City and County of San Francisco under the frozen Measured Batch 100 protocol.,jur-us-ca-bay-area-rapid-transit-district,,TRUE,5a0bb84e08469f0eaf97c6d4b7b0dcd7a2675f47ac6f1cc3f1a53782974182ab,5a0bb84e08469f0eaf97c6d4b7b0dcd7a2675f47ac6f1cc3f1a53782974182ab,TRUE,TRUE
MB100-039,City and County of San Francisco,CA,coextensive place/county,AR-005,government,MEASURED — KNOWN,ocd-division/country:us/state:ca/place:san_francisco,place-0667000 / county-06075,Maintained coextensive alias and one-government deduplication,TRUE,2026-08-07 21:01:21,TRUE,2026-08-07 21:02:22,1.0,TRUE,2026-08-07 21:03:09,TRUE,2026-08-07 21:03:21,0.2,MATCHED,SUCCESS,,TRUE,PASS,Complete — PASS. Start MB100-040 City and County of Broomfield under the frozen Measured Batch 100 protocol.,jur-us-ca-san-francisco,,TRUE,ac7313adb1bc93b3b5485d42f10406464e2a41eadaae1f49632d50a8500c08e3,ac7313adb1bc93b3b5485d42f10406464e2a41eadaae1f49632d50a8500c08e3,TRUE,TRUE
